cs,year,month
128.461,2003,1
129.355,2003,2
130.148,2003,3
130.884,2003,4
131.734,2003,5
132.649,2003,6
133.777,2003,7
134.969,2003,8
136.294,2003,9
137.532,2003,10
138.794,2003,11
140.179,2003,12
141.646,2004,1
143.192,2004,2
145.059,2004,3
146.593,2004,4
148.186,2004,5
149.85,2004,6
151.338,2004,7
152.633,2004,8
154.179,2004,9
155.75,2004,10
157.527,2004,11
159.33,2004,12
161.288,2005,1
163.344,2005,2
165.812,2005,3
167.501,2005,4
169.351,2005,5
171.19,2005,6
172.86,2005,7
174.442,2005,8
176.438,2005,9
178.028,2005,10
179.68,2005,11
180.91,2005,12
182.321,2006,1
183.287,2006,2
184.364,2006,3
184.329,2006,4
184.156,2006,5
183.507,2006,6
183.068,2006,7
182.594,2006,8
182.798,2006,9
183.198,2006,10
183.609,2006,11
184.139,2006,12
184.517,2007,1
184.598,2007,2
184.15,2007,3
183.01,2007,4
181.6,2007,5
180.254,2007,6
179.111,2007,7
178.116,2007,8
177.558,2007,9
176.624,2007,10
175.147,2007,11
174.342,2007,12
173.132,2008,1
171.541,2008,2
170.053,2008,3
168.338,2008,4
166.659,2008,5
165.017,2008,6
163.566,2008,7
161.987,2008,8
160.308,2008,9
158.327,2008,10
156.142,2008,11
153.619,2008,12
151.507,2009,1
150.015,2009,2
148.66,2009,3
147.949,2009,4
147.694,2009,5
148.09,2009,6
148.41,2009,7
148.278,2009,8
148.025,2009,9
147.85,2009,10
148.134,2009,11
147.929,2009,12
147.396,2010,1
145.631,2010,2
145.859,2010,3
146.403,2010,4
146.394,2010,5
145.721,2010,6
144.991,2010,7
143.916,2010,8
143.019,2010,9
142.531,2010,10
142.173,2010,11
142.06,2010,12
141.521,2011,1
140.35,2011,2
139.981,2011,3
140.01,2011,4
139.905,2011,5
139.862,2011,6
139.73,2011,7
139.309,2011,8
138.668,2011,9
137.952,2011,10
137.152,2011,11
136.674,2011,12
136.607,2012,1
136.533,2012,2
137.904,2012,3
139.154,2012,4
140.155,2012,5
141.029,2012,6
141.669,2012,7
142.279,2012,8
142.908,2012,9
143.6,2012,10
144.585,2012,11
145.503,2012,12
146.827,2013,1
147.785,2013,2
149.963,2013,3
151.519,2013,4
152.85,2013,5
154.199,2013,6
155.604,2013,7
156.965,2013,8
158.227,2013,9
159.242,2013,10
160.075,2013,11
160.994,2013,12
161.927,2014,1
162.525,2014,2
163.086,2014,3
163.393,2014,4
163.66,2014,5
164.062,2014,6
164.578,2014,7
165.215,2014,8
165.905,2014,9
166.642,2014,10
167.335,2014,11
168.051,2014,12
168.634,2015,1
169.13,2015,2
169.8,2015,3
170.298,2015,4
170.881,2015,5
171.468,2015,6
172.131,2015,7
172.936,2015,8
173.828,2015,9
174.792,2015,10
175.738,2015,11
176.545,2015,12
177.273,2016,1
177.649,2016,2
178.165,2016,3
178.767,2016,4
179.43,2016,5
180.08,2016,6
180.832,2016,7
181.852,2016,8
182.824,2016,9
183.752,2016,10
184.76,2016,11
185.725,2016,12
186.801,2017,1
187.312,2017,2
187.991,2017,3
188.724,2017,4
189.617,2017,5
190.51,2017,6
191.451,2017,7
192.667,2017,8
193.763,2017,9
194.811,2017,10
195.962,2017,11
197.176,2017,12
198.303,2018,1
199.217,2018,2
199.954,2018,3
200.654,2018,4
201.428,2018,5
202.238,2018,6
202.912,2018,7
203.697,2018,8
204.365,2018,9
205.138,2018,10
205.685,2018,11
206.161,2018,12
206.517,2019,1
206.817,2019,2
207.024,2019,3
207.506,2019,4
208.148,2019,5
208.67,2019,6
209.277,2019,7
210.12,2019,8
210.934,2019,9
211.844,2019,10
212.817,2019,11
213.938,2019,12
214.954,2020,1
215.773,2020,2
216.317,2020,3
216.803,2020,4
217.009,2020,5
217.656,2020,6
219.352,2020,7
222.449,2020,8
225.885,2020,9
229.84,2020,10
233.254,2020,11
236.491,2020,12
239.497,2021,1
242.215,2021,2
245.319,2021,3
249.063,2021,4
253.465,2021,5
258.429,2021,6
262.763,2021,7
266.955,2021,8
270.447,2021,9
273.855,2021,10
277.28,2021,11
281.348,2021,12
285.829,2022,1
290.924,2022,2
296.228,2022,3
300.569,2022,4
303.863,2022,5
304.832,2022,6
303.8,2022,7
301.637,2022,8
299.44,2022,9
299.033,2022,10
298.35,2022,11
297.425,2022,12
