gdp_billion,gdp_per_capita,year
11456.44204,39490.275,2003
12217.1932,41724.6316,2004
13039.19919,44123.4071,2005
13815.58695,46302.0009,2006
14474.22691,48050.2238,2007
14769.85791,48570.046,2008
14478.06493,47194.9434,2009
15048.96444,48650.6431,2010
15599.72812,50065.9665,2011
16253.97223,51784.4186,2012
16843.19099,53291.1277,2013
17550.68017,55123.8498,2014
18206.02074,56762.7295,2015
18695.11084,57866.7449,2016
19477.33655,59907.7543,2017
20533.05731,62823.3094,2018
21380.97612,65120.3947,2019
21060.47361,63528.6343,2020
23315.08056,70219.4725,2021
25462.7,76398.5917,2022
