date,gdp_billion,gdp_per_capita
31-12-2003,11456.44204,39490.275
31-12-2004,12217.1932,41724.6316
31-12-2005,13039.19919,44123.4071
31-12-2006,13815.58695,46302.0009
31-12-2007,14474.22691,48050.2238
31-12-2008,14769.85791,48570.046
31-12-2009,14478.06493,47194.9434
31-12-2010,15048.96444,48650.6431
31-12-2011,15599.72812,50065.9665
31-12-2012,16253.97223,51784.4186
31-12-2013,16843.19099,53291.1277
31-12-2014,17550.68017,55123.8498
31-12-2015,18206.02074,56762.7295
31-12-2016,18695.11084,57866.7449
31-12-2017,19477.33655,59907.7543
31-12-2018,20533.05731,62823.3094
31-12-2019,21380.97612,65120.3947
31-12-2020,21060.47361,63528.6343
31-12-2021,23315.08056,70219.4725
31-12-2022,25462.7,76398.5917
